tracker	detector	nn	learner	sum
36	37	0	8	81
36	30	0	9	75
35	31	1	8	75
35	37	0	8	80
35	36	0	9	80
36	43	0	8	87
36	43	0	9	88
35	43	0	8	86
36	31	0	7	74
39	31	0	8	78
34	40	0	6	80
35	51	0	6	92
34	46	0	8	88
35	45	0	7	87
35	42	0	6	83
35	46	0	8	89
35	49	1	6	91
33	56	1	7	97
35	44	0	7	86
32	51	0	8	91
36	52	1	6	95
35	44	0	6	85
34	40	0	6	80
35	46	0	8	89
35	36	0	0	71
34	41	0	0	75
36	42	0	0	78
32	50	0	0	82
35	43	0	0	78
32	44	0	0	76
40	52	0	0	92
34	63	0	0	97
36	71	0	0	107
8	74	0	7	89
32	53	0	0	85
21	54	0	0	75
13	53	0	1	67
8	53	0	0	61
9	53	0	0	62
8	54	0	0	62
16	52	0	0	68
8	54	0	0	62
9	42	0	0	51
8	53	0	0	61
9	57	0	0	66
8	65	0	0	73
10	65	0	0	75
7	69	0	0	76
9	69	0	0	78
8	75	0	0	83
10	60	0	0	70
6	59	0	7	72
34	27	0	6	67
33	28	0	7	68
37	24	0	6	67
33	29	0	7	69
35	30	1	6	72
33	43	0	6	82
35	44	0	6	85
34	59	0	7	100
36	54	0	6	96
34	28	0	7	69
34	27	0	6	67
34	29	0	8	71
35	44	0	6	85
34	44	1	6	85
34	54	0	6	94
35	64	0	7	106
32	50	0	6	88
34	55	0	8	97
34	52	0	6	92
34	55	0	6	95
34	46	1	0	81
34	51	0	0	85
34	68	0	0	102
35	71	0	6	112
37	73	0	6	116
35	44	0	7	86
35	38	0	6	79
35	41	1	6	83
34	45	0	6	85
35	49	0	6	90
35	48	0	6	89
36	56	0	6	98
34	54	0	0	88
32	65	0	0	97
9	69	1	0	79
8	73	0	0	81
6	84	0	6	96
34	80	0	7	121
35	32	0	0	67
31	40	0	0	71
32	51	0	0	83
33	59	0	1	93
50	89	1	6	146
82	41	0	6	129
32	38	0	0	70
34	45	0	0	79
33	53	0	0	86
